ts_code,symbol,name,area,industry,list_date,delist_date,list_status,exchange,market
920199.BJ,920199,倍益康,四川,家用电器,20221201,,L,BSE,北交所
920198.BJ,920198,微创光电,湖北,IT设备,20200727,,L,BSE,北交所
920195.BJ,920195,三祥科技,山东,汽车配件,20221230,,L,BSE,北交所
920190.BJ,920190,雷神科技,山东,IT设备,20221223,,L,BSE,北交所
920185.BJ,920185,贝特瑞,深圳,化工原料,20200727,,L,BSE,北交所
920184.BJ,920184,国源科技,北京,软件服务,20200727,,L,BSE,北交所
920179.BJ,920179,凯德石英,北京,矿物制品,20220304,,L,BSE,北交所
920175.BJ,920175,东方碳素,河南,化工原料,20230630,,L,BSE,北交所
920174.BJ,920174,五新智能,湖南,工程机械,20210820,,L,BSE,北交所
920171.BJ,920171,志晟信息,河北,软件服务,20211115,,L,BSE,北交所
920169.BJ,920169,七丰精工,浙江,机械基件,20220415,,L,BSE,北交所
920167.BJ,920167,同享科技,江苏,小金属,20200727,,L,BSE,北交所
920163.BJ,920163,方大新材,河北,塑料,20200727,,L,BSE,北交所
920160.BJ,920160,北矿检测,北京,电器仪表,20251118,,L,BSE,北交所
920158.BJ,920158,长江能科,江苏,专用机械,20251016,,L,BSE,北交所
920152.BJ,920152,昆工科技,云南,小金属,20220901,,L,BSE,北交所
920149.BJ,920149,旭杰科技,江苏,建筑工程,20200727,,L,BSE,北交所
920146.BJ,920146,华阳变速,湖北,汽车配件,20210720,,L,BSE,北交所
920145.BJ,920145,恒合股份,北京,环境保护,20211115,,L,BSE,北交所
920139.BJ,920139,华岭股份,上海,半导体,20221028,,L,BSE,北交所
920132.BJ,920132,泰鹏智能,山东,家居用品,20231116,,L,BSE,北交所
920130.BJ,920130,立方控股,浙江,软件服务,20231102,,L,BSE,北交所
920128.BJ,920128,胜业电气,广东,元器件,20241129,,L,BSE,北交所
920124.BJ,920124,南特科技,广东,机械基件,20251127,,L,BSE,北交所
920123.BJ,920123,芭薇股份,广东,日用化工,20240329,,L,BSE,北交所
920122.BJ,920122,中纺标,北京,综合类,20220927,,L,BSE,北交所
920121.BJ,920121,江天科技,江苏,广告包装,20251225,,L,BSE,北交所
920118.BJ,920118,太湖远大,浙江,塑料,20240822,,L,BSE,北交所
920116.BJ,920116,星图测控,安徽,软件服务,20250102,,L,BSE,北交所
