model,factor_id,engine,n,mean,std,min,max,unique_ratio,is_constant,rule_score_mean,rule_score_std
listing_close_v1,Z_FIN_002,ziwei,500,0.5730,0.3452,0.0000,1.0000,0.0060,False,2.8650,1.7261
listing_close_v1,Z_FIN_003,ziwei,500,-0.2820,0.3186,-1.0000,0.0000,0.0060,False,2.2560,2.5484
listing_close_v1,Z_FIN_004,ziwei,500,0.1320,0.3385,0.0000,1.0000,0.0040,False,1.0560,2.7079
listing_close_v1,Z_LIFE_001,ziwei,500,0.3808,0.3342,-0.2605,0.8701,0.0440,False,4.1593,2.8938
listing_close_v1,Z_LIFE_002,ziwei,500,0.5780,0.3477,0.0000,1.0000,0.0060,False,2.8900,1.7386
listing_close_v1,Z_LIFE_003,ziwei,500,0.1913,0.2709,0.0000,1.0000,0.0080,False,1.5307,2.1673
listing_close_v1,Z_LIFE_004,ziwei,500,-0.2330,0.3037,-1.0000,0.0000,0.0060,False,1.8640,2.4293
listing_close_v1,Z_LIFE_005,ziwei,500,0.0246,0.4476,-0.7616,0.9640,0.0140,False,2.7297,2.3256
listing_close_v1,Z_LIFE_006,ziwei,500,0.0000,0.0000,0.0000,0.0000,0.0020,True,0.0000,0.0000
listing_close_v1,Z_LIFE_007,ziwei,500,-0.0240,0.6681,-1.0000,1.0000,0.0100,False,2.8100,1.8108
listing_close_v1,Z_MONTH_001,ziwei,500,-0.0262,0.6332,-1.0000,1.0000,0.0240,False,2.8129,1.4593
listing_close_v1,Z_MONTH_002,ziwei,500,0.3502,0.3373,-0.2605,0.8701,0.0420,False,3.8586,2.9583
listing_close_v1,Z_MONTH_003,ziwei,500,-0.1580,0.2026,-0.6667,0.0000,0.0060,False,1.2641,1.6206
listing_close_v1,Z_MONTH_004,ziwei,500,0.0865,0.6414,-1.0000,1.0000,0.0240,False,2.8838,1.4681
listing_close_v1,Z_MONTH_005,ziwei,500,0.0298,0.5887,-1.0000,1.0000,0.0240,False,2.4784,1.5950
listing_close_v1,Z_MOVE_001,ziwei,500,0.3910,0.3338,-0.2605,0.8701,0.0440,False,4.2335,2.9170
listing_close_v1,Z_MOVE_002,ziwei,500,-0.2620,0.3307,-1.0000,0.0000,0.0060,False,2.0960,2.6455
listing_close_v1,Z_MOVE_003,ziwei,500,0.1740,0.3791,0.0000,1.0000,0.0040,False,1.3920,3.0329
listing_close_v1,Z_MUTAGEN_001,ziwei,500,0.4150,0.4442,0.0000,1.0000,0.0060,False,4.1500,4.4416
listing_close_v1,Z_MUTAGEN_002,ziwei,500,0.4290,0.4511,0.0000,1.0000,0.0060,False,4.2900,4.5106
listing_close_v1,Z_MUTAGEN_003,ziwei,500,0.3990,0.4586,0.0000,1.0000,0.0060,False,3.9900,4.5858
listing_close_v1,Z_MUTAGEN_004,ziwei,500,-0.4000,0.4517,-1.0000,0.0000,0.0060,False,4.0000,4.5166
listing_close_v1,Z_MUTAGEN_005,ziwei,500,0.4820,0.3710,0.0000,1.0000,0.0060,False,4.8200,3.7105
listing_close_v1,Z_MUTAGEN_006,ziwei,500,-0.3280,0.4695,-1.0000,0.0000,0.0040,False,2.6240,3.7559
listing_close_v1,Z_TRINE_001,ziwei,500,0.5740,0.2215,-0.0250,0.8617,0.1260,False,5.7462,2.1998
listing_close_v1,Z_TRINE_002,ziwei,500,0.4317,0.1860,0.0000,0.8333,0.0120,False,4.3167,1.8604
listing_close_v1,Z_TRINE_003,ziwei,500,-0.4920,0.3129,-1.0000,0.0000,0.0100,False,4.9200,3.1295
listing_close_v1,Z_TRINE_004,ziwei,500,0.1356,0.5318,-0.9311,0.9311,0.0200,False,4.6646,2.8922
listing_close_v1,Z_TRINE_005,ziwei,500,0.6944,0.2374,0.0000,1.0000,0.0120,False,3.4720,1.1871
listing_close_v1,Z_YEAR_001,ziwei,500,-0.2727,0.0000,-0.2727,-0.2727,0.0020,True,1.3640,0.0000
listing_close_v1,Z_YEAR_002,ziwei,500,0.4651,0.2656,-0.0997,0.8122,0.0120,False,4.8190,2.3391
listing_close_v1,Z_YEAR_003,ziwei,500,-0.3287,0.1782,-0.6667,0.0000,0.0060,False,2.6295,1.4255
listing_close_v1,Z_YEAR_004,ziwei,500,0.0865,0.6414,-1.0000,1.0000,0.0240,False,2.8838,1.4681
listing_close_v1,Z_YEAR_005,ziwei,500,0.0298,0.5887,-1.0000,1.0000,0.0240,False,2.4784,1.5950
listing_close_v1,Z_YEAR_006,ziwei,500,0.0240,0.1069,0.0000,0.5000,0.0040,False,0.2400,1.0688
listing_open_v1,B_DAY_001,bazi,500,0.0580,0.8186,-1.0000,1.0000,0.0100,False,7.5160,3.2957
listing_open_v1,B_DAY_002,bazi,500,0.1380,0.2407,0.0000,1.0000,0.0060,False,1.3800,2.4074
listing_open_v1,B_DAY_003,bazi,500,0.5910,0.1929,0.5000,1.0000,0.0040,False,5.9100,1.9292
listing_open_v1,B_DAY_004,bazi,500,0.0580,0.8186,-1.0000,1.0000,0.0100,False,7.5160,3.2957
listing_open_v1,B_DAY_005,bazi,500,0.4993,0.3145,0.0000,1.0000,0.0200,False,5.0000,0.0000
listing_open_v1,B_DAY_006,bazi,500,-0.1040,0.8131,-1.0000,1.0000,0.0060,False,6.7200,4.6948
listing_open_v1,B_DAY_007,bazi,500,0.7020,0.2453,0.5000,1.0000,0.0040,False,7.0200,2.4535
listing_open_v1,B_DAY_008,bazi,500,0.1210,0.2277,0.0000,1.0000,0.0060,False,1.2100,2.2773
listing_open_v1,B_MONTH_001,bazi,500,-0.0908,0.7680,-1.0000,1.0000,0.0100,False,6.9960,3.2948
listing_open_v1,B_MONTH_002,bazi,500,0.0580,0.8186,-1.0000,1.0000,0.0100,False,7.5160,3.2957
listing_open_v1,B_MONTH_003,bazi,500,0.9620,0.1912,0.0000,1.0000,0.0040,False,9.6200,1.9120
listing_open_v1,B_MONTH_004,bazi,500,0.7560,0.4295,0.0000,1.0000,0.0040,False,7.5600,4.2949
listing_open_v1,B_MONTH_005,bazi,500,0.7640,0.4246,0.0000,1.0000,0.0040,False,7.6400,4.2462
listing_open_v1,B_MONTH_006,bazi,500,0.0420,0.2006,0.0000,1.0000,0.0040,False,0.4200,2.0059
listing_open_v1,B_MONTH_007,bazi,500,0.5910,0.1929,0.5000,1.0000,0.0040,False,5.9100,1.9292
listing_open_v1,B_MONTH_008,bazi,500,0.1380,0.2407,0.0000,1.0000,0.0060,False,1.3800,2.4074
listing_open_v1,B_MONTH_009,bazi,500,0.7020,0.2453,0.5000,1.0000,0.0040,False,7.0200,2.4535
listing_open_v1,B_MONTH_010,bazi,500,0.1210,0.2277,0.0000,1.0000,0.0060,False,1.2100,2.2773
listing_open_v1,B_MONTH_011,bazi,500,0.5171,0.3265,0.0000,1.0000,0.0200,False,5.0000,0.0000
listing_open_v1,B_MONTH_012,bazi,500,-0.1040,0.8131,-1.0000,1.0000,0.0060,False,6.7200,4.6948
listing_open_v1,B_NATAL_001,bazi,500,-0.1470,0.6884,-1.0000,1.0000,0.0100,False,5.7900,4.0032
listing_open_v1,B_NATAL_002,bazi,500,0.6080,0.2812,0.0000,1.0000,0.0100,False,6.0800,2.8122
listing_open_v1,B_NATAL_003,bazi,500,0.4760,0.4994,0.0000,1.0000,0.0040,False,4.7600,4.9942
listing_open_v1,B_NATAL_004,bazi,500,0.2280,0.4195,0.0000,1.0000,0.0040,False,2.2800,4.1954
listing_open_v1,B_NATAL_005,bazi,500,0.6255,0.2477,0.0000,1.0000,0.0100,False,6.2550,2.4774
listing_open_v1,B_NATAL_006,bazi,500,0.6170,0.2843,0.0000,1.0000,0.0100,False,6.1700,2.8427
