hypothesis_id,birth_model,partition,direction_source,year,event_count,mean_excess_return,up_rate,direction
HYP-CON-ALL3-CAL-001,ipo_approx_v1,OOS,calibrated,2026,8,-0.074897,0.25,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,OOS,calibrated,2023,49,-0.012259,0.44898,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,OOS,calibrated,2024,55,-0.06487,0.309091,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,OOS,calibrated,2025,44,-0.005825,0.409091,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_open_v1,OOS,calibrated,2026,39,-0.049688,0.435897,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,OOS,calibrated,2023,39,0.003242,0.435897,1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,OOS,calibrated,2024,58,-0.036067,0.413793,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,OOS,calibrated,2025,75,-0.001196,0.466667,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,listing_close_v1,OOS,calibrated,2026,55,-0.045579,0.509091,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2023,59,-0.029056,0.355932,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2024,68,-0.081742,0.294118,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2025,50,-0.015055,0.38,-1
HYP-CFL-BZ-POS-ZW-NEG-CAL-001,ipo_approx_v1,OOS,calibrated,2026,37,-0.004086,0.540541,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_open_v1,OOS,calibrated,2023,57,-0.009419,0.561404,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_open_v1,OOS,calibrated,2024,46,-0.019583,0.478261,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_open_v1,OOS,calibrated,2025,33,-0.021718,0.393939,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_open_v1,OOS,calibrated,2026,33,-0.008104,0.454545,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_close_v1,OOS,calibrated,2023,96,-0.032078,0.427083,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_close_v1,OOS,calibrated,2024,52,-0.038109,0.442308,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_close_v1,OOS,calibrated,2025,31,-0.031605,0.419355,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,listing_close_v1,OOS,calibrated,2026,21,-0.008096,0.428571,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,ipo_approx_v1,OOS,calibrated,2023,51,-0.027623,0.45098,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,ipo_approx_v1,OOS,calibrated,2024,72,-0.055546,0.388889,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,ipo_approx_v1,OOS,calibrated,2025,50,-0.046288,0.36,-1
HYP-CFL-BZ-NEG-ZW-POS-CAL-001,ipo_approx_v1,OOS,calibrated,2026,46,0.02286,0.630435,1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2023,116,-0.015083,0.491379,-1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2024,18,-0.01767,0.444444,-1
HYP-CFL-BZ-POS-HL-NEG-CAL-001,listing_open_v1,OOS,calibrated,2025,31,-0.005976,0.322581,-1
