hypothesis_id,object_id,birth_model,direction_source,partition,horizon,event_count,pool_count,positive_rate,sample_count,eligible_stock_count,coverage_start,coverage_end,mean_return,median_return,std_return,up_rate,mean_excess_return,excess_up_rate,mean_bench_return
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,TRAIN,60,3581,10647,0.336339,3550,256,2010-01-04,2020-06-18,0.025889,-0.01939,0.319048,0.456056,0.019366,0.464507,0.006523
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,VALIDATION,5,2445,5246,0.466069,2443,304,2019-01-02,2022-10-10,0.002298,0.005616,0.101394,0.523946,-0.011912,0.453541,0.01421
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,VALIDATION,10,2445,5246,0.466069,2439,304,2019-01-02,2022-10-10,-0.008205,-0.006948,0.132633,0.454695,-0.01991,0.410414,0.011704
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,VALIDATION,20,2445,5246,0.466069,2430,304,2019-01-02,2022-10-10,-0.056217,-0.052104,0.183845,0.322634,-0.059829,0.3107,0.003612
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,VALIDATION,60,2445,5246,0.466069,2354,304,2019-01-02,2022-10-10,0.011057,-0.029307,0.286529,0.430756,-0.022141,0.395497,0.033198
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,OOS,5,1067,3529,0.302352,996,184,2023-01-03,2026-08-14,-0.025743,-0.022193,0.094321,0.312249,-0.010409,0.376506,-0.015334
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,OOS,10,1067,3529,0.302352,989,184,2023-01-03,2026-08-14,-0.023852,-0.020086,0.116124,0.375126,-0.020378,0.371082,-0.003474
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,OOS,20,1067,3529,0.302352,974,184,2023-01-03,2026-08-14,-0.023873,-0.00901,0.169049,0.463039,-0.022394,0.440452,-0.001479
HYP-ZW-RAW-001,ziwei_raw,listing_close_v1,raw,OOS,60,1067,3529,0.302352,881,184,2023-01-03,2026-08-14,-0.030439,-0.055283,0.234906,0.379115,-0.028939,0.392736,-0.0015
HYP-ZW-RAW-001,ziwei_raw,ipo_approx_v1,raw,TRAIN,5,3101,10647,0.291256,3101,244,2010-01-04,2020-06-30,0.002608,0.000699,0.146132,0.501774,0.0008,0.460174,0.001808
