hypothesis_id,object_id,birth_model,direction_source,partition,event_count,pool_count,positive_rate,date_count,min_rate,max_rate,std_rate,dates_above_high,dates_below_low,mean_hit_per_date,threshold_high,threshold_low
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_open_v1,calibrated,VALIDATION,383,5246,0.073008,16,0.0,0.325424,0.092647,0,10,23.9375,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_open_v1,calibrated,OOS,285,3529,0.080759,16,0.0,0.331522,0.110773,0,10,17.8125,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_close_v1,calibrated,TRAIN,918,10647,0.086221,36,0.0,0.297945,0.080701,0,15,25.5,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_close_v1,calibrated,VALIDATION,432,5246,0.082348,16,0.0,0.233898,0.078391,0,7,27.0,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,listing_close_v1,calibrated,OOS,257,3529,0.072825,16,0.0,0.216535,0.077945,0,9,16.0625,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,ipo_approx_v1,calibrated,TRAIN,946,10647,0.088851,36,0.0,0.458904,0.10657,0,18,26.277778,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,ipo_approx_v1,calibrated,VALIDATION,429,5246,0.081777,16,0.0,0.318644,0.097765,0,9,26.8125,0.6,0.05
HYP-CON-BZ-HL-CAL-001,bazi_huangli_calibrated,ipo_approx_v1,calibrated,OOS,284,3529,0.080476,16,0.0,0.311024,0.102558,0,9,17.75,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_open_v1,raw,TRAIN,1384,10647,0.12999,36,0.0,0.313725,0.09488,0,10,38.444444,0.6,0.05
HYP-CON-ZW-HL-RAW-001,ziwei_huangli_raw,listing_open_v1,raw,VALIDATION,898,5246,0.171178,16,0.0,0.386228,0.117924,0,2,56.125,0.6,0.05
